benchmark,run,result
sum-sq-diff,baseline,3039
sum-sq-diff,hof,3039
orders,baseline,5352
orders,hof,5353
sieve,baseline,3482
sieve,hof,3484
recfact,baseline,104
recfact,hof,105
eight-queens,baseline,1006454
eight-queens,hof,1006455
check-primes,baseline,8468
check-primes,hof,8469
ackermann,baseline,1464231
ackermann,hof,1464232
binary-fmt,baseline,100
binary-fmt,hof,110
quadratic,baseline,785
quadratic,hof,787
digital-root,baseline,248
digital-root,hof,248
sum-bits,baseline,73
sum-bits,hof,73
mat-mul,baseline,1990407
mat-mul,hof,1990407
euclid,baseline,563
euclid,hof,564
