benchmark,run,result
sum-sq-diff,baseline,3039
sum-sq-diff,dce,3043
fizz-buzz,baseline,3652
fizz-buzz,dce,3702
perfect,baseline,233
perfect,dce,240
orders,baseline,5352
orders,dce,5971
collatz,baseline,169
collatz,dce,175
sieve,baseline,3482
sieve,dce,incorrect
recfact,baseline,104
recfact,dce,120
sqrt,baseline,322
sqrt,dce,incorrect
eight-queens,baseline,1006454
eight-queens,dce,incorrect
check-primes,baseline,8468
check-primes,dce,8917
fib,baseline,121
fib,dce,incorrect
ackermann,baseline,1464231
ackermann,dce,1636466
gcd,baseline,46
gcd,dce,49
binary-fmt,baseline,100
binary-fmt,dce,136
quadratic,baseline,785
quadratic,dce,833
digital-root,baseline,248
digital-root,dce,285
loopfact,baseline,116
loopfact,dce,118
sum-bits,baseline,73
sum-bits,dce,81
mat-mul,baseline,1990407
mat-mul,dce,incorrect
euclid,baseline,563
euclid,dce,586
pythagorean_triple,baseline,61518
pythagorean_triple,dce,61648
