benchmark,run,result
sum-sq-diff,baseline,3039
sum-sq-diff,ssa,3451
sum-sq-diff,optssa,2932
fizz-buzz,baseline,3652
fizz-buzz,ssa,3904
fizz-buzz,optssa,3055
perfect,baseline,233
perfect,ssa,312
perfect,optssa,308
orders,baseline,5352
orders,ssa,7536
orders,optssa,incorrect
collatz,baseline,169
collatz,ssa,193
collatz,optssa,193
sieve,baseline,3482
sieve,ssa,incorrect
sieve,optssa,incorrect
recfact,baseline,104
recfact,ssa,130
recfact,optssa,111
sqrt,baseline,322
sqrt,ssa,incorrect
sqrt,optssa,incorrect
eight-queens,baseline,timeout
eight-queens,ssa,missing
eight-queens,optssa,missing
check-primes,baseline,8468
check-primes,ssa,9430
check-primes,optssa,7724
fib,baseline,121
fib,ssa,incorrect
fib,optssa,incorrect
ackermann,baseline,timeout
ackermann,ssa,timeout
ackermann,optssa,timeout
gcd,baseline,46
gcd,ssa,65
gcd,optssa,59
binary-fmt,baseline,100
binary-fmt,ssa,154
binary-fmt,optssa,154
quadratic,baseline,785
quadratic,ssa,883
quadratic,optssa,827
digital-root,baseline,248
digital-root,ssa,345
digital-root,optssa,344
loopfact,baseline,116
loopfact,ssa,138
loopfact,optssa,115
sum-bits,baseline,73
sum-bits,ssa,102
sum-bits,optssa,101
mat-mul,baseline,timeout
mat-mul,ssa,missing
mat-mul,optssa,missing
euclid,baseline,563
euclid,ssa,693
euclid,optssa,incorrect
pythagorean_triple,baseline,61518
pythagorean_triple,ssa,69525
pythagorean_triple,optssa,69400
