benchmark,run,result
sum-sq-diff,baseline,3039
sum-sq-diff,lvn,3039
fizz-buzz,baseline,3652
fizz-buzz,lvn,3653
perfect,baseline,233
perfect,lvn,233
orders,baseline,5352
orders,lvn,5353
collatz,baseline,169
collatz,lvn,169
sieve,baseline,3482
sieve,lvn,incorrect
recfact,baseline,104
recfact,lvn,105
sqrt,baseline,322
sqrt,lvn,incorrect
eight-queens,baseline,1006454
eight-queens,lvn,1006455
check-primes,baseline,8468
check-primes,lvn,8469
fib,baseline,121
fib,lvn,121
ackermann,baseline,1464231
ackermann,lvn,timeout
gcd,baseline,46
gcd,lvn,46
binary-fmt,baseline,100
binary-fmt,lvn,110
quadratic,baseline,785
quadratic,lvn,787
digital-root,baseline,248
digital-root,lvn,248
loopfact,baseline,116
loopfact,lvn,117
sum-bits,baseline,73
sum-bits,lvn,73
mat-mul,baseline,1990407
mat-mul,lvn,1990407
euclid,baseline,563
euclid,lvn,564
pythagorean_triple,baseline,61518
pythagorean_triple,lvn,61519
