benchmark,run,result
commute,baseline,missing
commute,lvndce,missing
reassign,baseline,3
reassign,lvndce,4
redundant,baseline,6
redundant,lvndce,3
idchain-nonlocal,baseline,missing
idchain-nonlocal,lvndce,missing
nonlocal,baseline,7
nonlocal,lvndce,incorrect
divide-by-zero,baseline,missing
divide-by-zero,lvndce,missing
clobber,baseline,10
clobber,lvndce,3
idchain,baseline,5
idchain,lvndce,3
redundant-dce,baseline,6
redundant-dce,lvndce,3
clobber-fold,baseline,10
clobber-fold,lvndce,3
idchain-prop,baseline,missing
idchain-prop,lvndce,missing
reassign,baseline,3
reassign,lvndce,4
diamond,baseline,6
diamond,lvndce,incorrect
double,baseline,6
double,lvndce,3
combo,baseline,missing
combo,lvndce,missing
simple,baseline,5
simple,lvndce,3
double-pass,baseline,missing
double-pass,lvndce,missing
skipped,baseline,4
skipped,lvndce,4
reassign-dkp,baseline,missing
reassign-dkp,lvndce,missing
