benchmark,run,result
sum-sq-diff,baseline,3039
sum-sq-diff,ssa,3448
fizz-buzz,baseline,3652
fizz-buzz,ssa,3903
perfect,baseline,233
perfect,ssa,306
orders,baseline,5352
orders,ssa,incorrect
collatz,baseline,169
collatz,ssa,192
sieve,baseline,3482
sieve,ssa,incorrect
recfact,baseline,104
recfact,ssa,121
sqrt,baseline,322
sqrt,ssa,incorrect
eight-queens,baseline,1006454
eight-queens,ssa,incorrect
check-primes,baseline,8468
check-primes,ssa,9380
fib,baseline,121
fib,ssa,incorrect
ackermann,baseline,1464231
ackermann,ssa,1636466
gcd,baseline,46
gcd,ssa,64
binary-fmt,baseline,100
binary-fmt,ssa,136
quadratic,baseline,785
quadratic,ssa,879
digital-root,baseline,248
digital-root,ssa,316
loopfact,baseline,116
loopfact,ssa,137
sum-bits,baseline,73
sum-bits,ssa,95
mat-mul,baseline,1990407
mat-mul,ssa,incorrect
euclid,baseline,563
euclid,ssa,671
pythagorean_triple,baseline,61518
pythagorean_triple,ssa,69399
