benchmark,run,result
commute,baseline,missing
commute,dce,missing
commute,lvn,missing
commute,all,missing
reassign,baseline,3
reassign,dce,4
reassign,lvn,4
reassign,all,incorrect
redundant,baseline,6
redundant,dce,incorrect
redundant,lvn,7
redundant,all,incorrect
idchain-nonlocal,baseline,missing
idchain-nonlocal,dce,missing
idchain-nonlocal,lvn,missing
idchain-nonlocal,all,missing
nonlocal,baseline,7
nonlocal,dce,incorrect
nonlocal,lvn,incorrect
nonlocal,all,incorrect
divide-by-zero,baseline,missing
divide-by-zero,dce,missing
divide-by-zero,lvn,missing
divide-by-zero,all,missing
clobber,baseline,10
clobber,dce,incorrect
clobber,lvn,11
clobber,all,incorrect
idchain,baseline,5
idchain,dce,6
idchain,lvn,6
idchain,all,incorrect
redundant-dce,baseline,6
redundant-dce,dce,incorrect
redundant-dce,lvn,7
redundant-dce,all,incorrect
clobber-fold,baseline,10
clobber-fold,dce,incorrect
clobber-fold,lvn,11
clobber-fold,all,incorrect
idchain-prop,baseline,missing
idchain-prop,dce,missing
idchain-prop,lvn,missing
idchain-prop,all,missing
reassign,baseline,3
reassign,dce,4
reassign,lvn,4
reassign,all,incorrect
diamond,baseline,6
diamond,dce,incorrect
diamond,lvn,incorrect
diamond,all,incorrect
double,baseline,6
double,dce,incorrect
double,lvn,7
double,all,incorrect
combo,baseline,missing
combo,dce,missing
combo,lvn,missing
combo,all,missing
simple,baseline,5
simple,dce,incorrect
simple,lvn,6
simple,all,incorrect
double-pass,baseline,missing
double-pass,dce,missing
double-pass,lvn,missing
double-pass,all,missing
skipped,baseline,4
skipped,dce,4
skipped,lvn,5
skipped,all,incorrect
reassign-dkp,baseline,missing
reassign-dkp,dce,missing
reassign-dkp,lvn,missing
reassign-dkp,all,missing
